chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\FlowArrangement.java, FlowArrangement, 368, 148, 0.40217391304347827, 3, 0.13405797101449277
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\GridArrangement.java, GridArrangement, 369, 134, 0.36314363143631434, 2, 0.18157181571815717
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\LengthConstraintType.java, LengthConstraintType, 10, 9, 0.9, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\LineBorder.java, LineBorder, 162, 67, 0.41358024691358025, 2, 0.20679012345679013
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\RectangleConstraint.java, RectangleConstraint, 281, 141, 0.501779359430605, 1, 0.501779359430605
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartColor.java, ChartColor, 110, 68, 0.6181818181818182, 1, 0.6181818181818182
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartFactory.java, ChartFactory, 1783, 874, 0.4901850813236119, 1, 0.4901850813236119
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartFrame.java, ChartFrame, 42, 24, 0.5714285714285714, 1, 0.5714285714285714
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartHints.java, ChartHints, 57, 35, 0.6140350877192983, 1, 0.6140350877192983
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartHints.java, Key, 33, 17, 0.5151515151515151, 1, 0.5151515151515151
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartMouseEvent.java, ChartMouseEvent, 54, 37, 0.6851851851851852, 1, 0.6851851851851852
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartMouseListener.java, ChartMouseListener, 20, 17, 0.85, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartPanel.java, ), 3, 1, 0.3333333333333333, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartRenderingInfo.java, ChartRenderingInfo, 183, 102, 0.5573770491803278, 1, 0.5573770491803278
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartTheme.java, ChartTheme, 16, 14, 0.875, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartTransferable.java, ChartTransferable, 202, 112, 0.5544554455445545, 1, 0.5544554455445545
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\ChartUtils.java, ChartUtils, 592, 360, 0.6081081081081081, 1, 0.6081081081081081
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\date\MonthConstants.java, MonthConstants, 28, 27, 0.9642857142857143, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\date\SpreadsheetDate.java, SpreadsheetDate, 366, 199, 0.5437158469945356, 1, 0.5437158469945356
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\editor\ChartEditor.java, ChartEditor, 13, 11, 0.8461538461538461, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\editor\ChartEditorFactory.java, ChartEditorFactory, 12, 10, 0.8333333333333334, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\editor\ChartEditorManager.java, ChartEditorManager, 42, 29, 0.6904761904761905, 1, 0.6904761904761905
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\editor\DefaultAxisEditor.java, DefaultAxisEditor, 386, 202, 0.5233160621761658, 1, 0.5233160621761658
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\editor\DefaultChartEditor.java, DefaultChartEditor, 178, 58, 0.3258426966292135, 1, 0.3258426966292135
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\editor\DefaultChartEditorFactory.java, DefaultChartEditorFactory, 20, 13, 0.65, 1, 0.65
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\editor\DefaultLogAxisEditor.java, DefaultLogAxisEditor, 103, 31, 0.30097087378640774, 1, 0.30097087378640774
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\editor\DefaultPlotEditor.java, DefaultPlotEditor, 482, 153, 0.31742738589211617, 3, 0.10580912863070539
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\editor\DefaultTitleEditor.java, DefaultTitleEditor, 198, 71, 0.35858585858585856, 1, 0.35858585858585856
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\encoders\EncoderUtil.java, EncoderUtil, 133, 85, 0.6390977443609023, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\encoders\ImageEncoder.java, ImageEncoder, 50, 42, 0.84, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\encoders\ImageEncoderFactory.java, ImageEncoderFactory, 95, 48, 0.5052631578947369, 1, 0.5052631578947369
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\encoders\ImageEncoderFactory.java, Name, 3, 0, 0.0, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\encoders\ImageFormat.java, ImageFormat, 10, 9, 0.9, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\encoders\SunJPEGEncoderAdapter.java, SunJPEGEncoderAdapter, 108, 63, 0.5833333333333334, 1, 0.5833333333333334
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\encoders\SunPNGEncoderAdapter.java, SunPNGEncoderAdapter, 74, 46, 0.6216216216216216, 1, 0.6216216216216216
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\AxisEntity.java, AxisEntity, 147, 81, 0.5510204081632653, 1, 0.5510204081632653
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\CategoryLabelEntity.java, CategoryLabelEntity<C, 76, 38, 0.5, 1, 0.5
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\ChartEntity.java, ChartEntity, 318, 157, 0.4937106918238994, 1, 0.4937106918238994
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\EntityCollection.java, EntityCollection, 56, 47, 0.8392857142857143, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\JFreeChartEntity.java, JFreeChartEntity, 146, 80, 0.547945205479452, 1, 0.547945205479452
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\PlotEntity.java, PlotEntity, 146, 80, 0.547945205479452, 1, 0.547945205479452
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\TitleEntity.java, TitleEntity, 146, 80, 0.547945205479452, 1, 0.547945205479452
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\XYAnnotationEntity.java, XYAnnotationEntity, 62, 33, 0.532258064516129, 2, 0.2661290322580645
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\entity\XYItemEntity.java, XYItemEntity, 113, 65, 0.5752212389380531, 1, 0.5752212389380531
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\AnnotationChangeEvent.java, AnnotationChangeEvent, 33, 24, 0.7272727272727273, 1, 0.7272727272727273
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\AnnotationChangeListener.java, AnnotationChangeListener, 15, 13, 0.8666666666666667, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\AxisChangeEvent.java, AxisChangeEvent, 24, 17, 0.7083333333333334, 1, 0.7083333333333334
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\AxisChangeListener.java, AxisChangeListener, 17, 15, 0.8823529411764706, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartChangeEvent.java, ChartChangeEvent, 75, 48, 0.64, 1, 0.64
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartChangeEventType.java, ChartChangeEventType, 10, 9, 0.9, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartChangeListener.java, ChartChangeListener, 15, 13, 0.8666666666666667, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartProgressEvent.java, ChartProgressEvent, 76, 48, 0.631578947368421, 1, 0.631578947368421
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartProgressEventType.java, ChartProgressEventType, 8, 7, 0.875, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\ChartProgressListener.java, ChartProgressListener, 11, 9, 0.8181818181818182, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\MarkerChangeEvent.java, MarkerChangeEvent, 31, 24, 0.7741935483870968, 1, 0.7741935483870968
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\MarkerChangeListener.java, MarkerChangeListener, 15, 13, 0.8666666666666667, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\OverlayChangeEvent.java, OverlayChangeEvent, 14, 11, 0.7857142857142857, 1, 0.7857142857142857
